siniestro_id,poliza_id,anio_ocurrencia,fecha_siniestro,fecha_reporte,tipo_siniestro,monto_siniestro,deducible,monto_neto,monto_pagado,estado_siniestro,monto_reserva,mes_siniestro
1,33,2020,2020-10-07,2020-10-13,Colision,18548.88,2782.33,15766.55,15766.550000000001,Pagado,0,10
2,35,2020,2021-02-23,2021-02-27,Colision,4018.83,1800,2218.83,2218.83,Pagado,0,2
3,48,2020,2021-02-16,2021-03-02,Danos,22820.13,3423.02,19397.11,19397.12,Pagado,0,2
4,50,2020,2021-03-28,2021-03-31,Danos,33012.6,4951.89,28060.71,28060.71,Pagado,0,3
5,56,2020,2021-02-11,2021-02-12,Colision,7825.84,1800,6025.84,6025.84,Pagado,0,2
6,57,2020,2021-03-01,2021-03-10,Colision,12826.91,1924.04,10902.87,10902.87,Pagado,0,3
7,61,2020,2021-05-13,2021-05-17,Robo Parcial,12646.35,1896.95,10749.4,10749.400000000001,Pagado,0,5
8,61,2020,2020-06-22,2020-06-22,Colision,53001.88,7950.28,45051.6,45051.6,Pagado,0,6
9,63,2020,2021-04-21,2021-04-21,Colision,24560.47,3684.07,20876.4,0,Rechazado,0,4
10,66,2020,2020-08-03,2020-08-15,Colision,13440.62,2016.09,11424.53,11424.52,Pagado,0,8
11,69,2020,2020-11-27,2020-11-29,Robo Parcial,27495.79,4124.37,23371.42,23371.42,Pagado,0,11
12,79,2020,2021-07-29,2021-08-06,Danos,28253.8,4238.07,24015.73,24015.73,Pagado,0,7
13,81,2020,2020-11-09,2020-11-11,Colision,7618.22,1800,5818.22,5818.22,Pagado,0,11
14,81,2020,2020-02-18,2020-02-27,Danos,10947.7,1800,9147.7,9147.7,Pagado,0,2
15,82,2020,2020-12-05,2020-12-12,Danos,18092.36,2713.85,15378.5,15378.49,Pagado,0,12
16,83,2020,2021-07-22,2021-08-02,Danos,13684.55,2052.68,11631.87,11631.86,Pagado,0,7
17,92,2020,2020-03-11,2020-03-17,Colision,13747.6,2062.14,11685.46,11685.46,Pagado,0,3
18,94,2020,2021-04-18,2021-04-25,Colision,6419.77,1800,4619.77,4619.7699999999995,Pagado,0,4
19,98,2020,2021-04-06,2021-04-10,Danos,45257.99,6788.7,38469.29,0,Rechazado,0,4
20,100,2020,2020-12-22,2020-12-26,Danos,7645.64,1800,5845.64,0,Rechazado,0,12
21,108,2020,2021-03-11,2021-03-11,Colision,11997.78,1800,10197.78,10197.78,Pagado,0,3
22,111,2020,2021-01-03,2021-01-15,Robo Parcial,2723.65,1800,923.65,923.65,Pagado,0,1
23,113,2020,2020-09-18,2020-09-25,Robo Total,126877.9,19031.69,107846.22,107846.22,Pagado,0,9
24,116,2020,2021-05-21,2021-05-26,Danos,5204.77,1800,3404.77,3404.77,Pagado,0,5
25,144,2020,2021-05-31,2021-06-02,Colision,8202.31,1800,6402.31,6402.31,Pagado,0,5
26,147,2020,2020-12-27,2020-12-27,Colision,11652.27,1800,9852.27,9852.279999999999,Pagado,0,12
27,150,2020,2021-03-14,2021-03-14,Colision,41954.16,6293.12,35661.03,0,Rechazado,0,3
28,162,2020,2020-10-22,2020-10-29,Danos,9332.76,1800,7532.76,7532.76,Pagado,0,10
29,165,2020,2021-03-13,2021-03-24,Colision,10264.41,1800,8464.41,8464.41,Pagado,0,3
30,166,2020,2020-10-13,2020-10-20,Danos,11381.93,1800,9581.93,0,Rechazado,0,10
31,190,2020,2021-06-30,2021-07-02,Danos,10707.31,1800,8907.31,0,Rechazado,0,6
32,191,2020,2021-06-27,2021-07-02,Colision,17694.28,2654.14,15040.14,0,Rechazado,0,6
33,200,2020,2021-08-31,2021-09-14,Colision,21916.82,3287.52,18629.3,18629.3,Pagado,0,8
34,237,2020,2021-05-08,2021-05-19,Danos,9955.54,1800,8155.54,8155.53,Pagado,0,5
35,246,2020,2020-09-07,2020-09-17,Robo Parcial,10004.56,1800,8204.56,8204.56,Pagado,0,9
36,250,2020,2021-08-13,2021-08-28,Colision,5253.31,1800,3453.31,3453.2999999999997,Pagado,0,8
37,251,2020,2021-07-20,2021-07-25,Colision,30466.68,4570,25896.67,0,Rechazado,0,7
38,275,2020,2021-08-12,2021-08-22,Robo Parcial,17539.47,2630.92,14908.55,14908.550000000001,Pagado,0,8
39,278,2020,2021-01-13,2021-01-24,Danos,8168.47,1800,6368.47,6368.47,Pagado,0,1
40,280,2020,2020-03-14,2020-03-19,Colision,8939.31,1800,7139.31,7139.31,Pagado,0,3
41,288,2020,2021-04-23,2021-05-08,Colision,30676.19,4601.43,26074.76,26074.75,Pagado,0,4
42,293,2020,2021-03-11,2021-03-18,Danos,19329.96,2899.49,16430.47,16430.47,Pagado,0,3
43,302,2020,2021-02-09,2021-02-22,Robo Parcial,4979.62,1800,3179.62,0,Rechazado,0,2
