poliza_id,anio_suscripcion,numero_renovacion,poliza_original_id,poliza_status,edad_conductor,experiencia_anos,score_crediticio,genero,estado,codigo_postal,marca_vehiculo,modelo_vehiculo,tipo_vehiculo,ano_vehiculo,canal_venta,fecha_inicio,fecha_vencimiento,exposicion,suma_asegurada,prima_neta
1,2020,0,NA,No Renovada,42,23,573,F,Coahuila,28672,Kia,Rio,Sedan,2013,Agente,2020-01-23,2021-01-23,1,96625,1881.9967518210462
2,2020,0,NA,No Renovada,21,3,NA,M,Coahuila,27059,Volkswagen,Jetta,Sedan,2011,Agente,2020-06-05,2021-06-05,1,155214,2725.4759833775815
3,2020,0,NA,Vigente,25,7,641,F,Coahuila,34437,Mazda,Mazda3,Sedan,2014,Agente,2020-04-22,2021-04-22,1,152547,2214.03875373569
4,2020,0,NA,Vigente,40,22,714,F,Jalisco,48914,Chevrolet,Equinox,SUV,2009,Directo,2020-07-01,2021-07-01,1,213043,2985.850756180268
5,2020,0,NA,Vigente,34,16,541,F,Coahuila,31037,Nissan,Versa,Sedan,2007,Agente,2020-03-28,2021-03-28,1,111887,2110.1633901087393
6,2020,0,NA,Vigente,36,15,674,F,Coahuila,29930,Toyota,Corolla,Sedan,2012,Agente,2020-05-02,2021-05-02,1,207063,2136.302184633513
7,2020,0,NA,No Renovada,27,9,598,F,Michoacan,66339,Nissan,Versa,Sedan,2012,Banco,2020-07-14,2021-07-14,1,136817,2174.2032446487856
8,2020,0,NA,Vigente,31,11,695,F,Tamaulipas,90216,Mazda,Mazda3,Sedan,2014,Directo,2020-03-21,2021-03-21,1,143040,2190.0070313143547
9,2020,0,NA,Vigente,25,7,NA,F,Coahuila,29409,Volkswagen,Vento,Sedan,2014,Digital,2020-04-02,2021-04-02,1,183754,2292.1600981063057
10,2020,0,NA,Vigente,46,27,737,M,Coahuila,28717,Kia,Rio,Sedan,2009,Banco,2020-11-12,2021-11-12,1,96466,1881.614657062695
11,2020,0,NA,Vigente,43,25,644,F,Coahuila,26016,Nissan,March,Hatchback,2013,Banco,2020-08-30,2021-08-30,1,134294,1787.4893707452693
12,2020,0,NA,Vigente,45,25,644,F,Coahuila,33045,Honda,Civic,Sedan,2014,Digital,2020-03-20,2021-03-20,1,266426,2268.74167393492
13,2020,0,NA,Vigente,38,20,664,M,Coahuila,26813,Honda,Civic,Sedan,2014,Banco,2020-03-06,2021-03-06,1,238530,2206.6979392625144
14,2020,0,NA,Vigente,36,18,658,M,Baja California,28020,Volkswagen,Vento,Sedan,2014,Directo,2020-02-27,2021-02-27,1,159514,2028.7028222404704
15,2020,0,NA,Vigente,46,27,664,F,Coahuila,28137,Toyota,Corolla,Sedan,2011,Banco,2020-02-24,2021-02-24,1,175439,2064.9483943105547
